verb_lemma,formula_freq,formula_freq_norm,num_formula,formula_prop
yık,9624,0.7529927235740552,271,0.7245989304812834
rastla,4951,0.7493567428484941,206,0.7463768115942029
önle,12365,0.7384734830387004,239,0.6694677871148459
kaydet,3371,0.7454666076957098,181,0.7573221757322176
bula,5759,0.7891203069334064,251,0.7275362318840579
uzan,115,0.8914728682170543,24,0.8
sakla,7918,0.7642857142857142,242,0.7076023391812866
yolla,3403,0.8257704440669741,221,0.7542662116040956
seyret,3281,0.9018691588785047,216,0.7297297297297297
böl,4156,0.7182855167646042,234,0.7597402597402597
üz,20672,0.7495830009427805,301,0.6872146118721462
dik,2754,0.8652214891611687,223,0.7311475409836066
ek,886189,0.7966767863194999,427,0.5817438692098093
yit,3311,0.8736147757255937,200,0.7604562737642585
hesapla,4666,0.7904455361680501,206,0.7490909090909091
uzaklaş,96,0.6956521739130435,61,0.7721518987341772
yönet,3898,0.7911508017048914,211,0.717687074829932
sözleş,109,0.872,33,0.8461538461538461
yağ,4422,0.8143646408839779,197,0.7111913357400722
yayınla,4337,0.7736353906528719,209,0.7411347517730497
algıla,6311,0.7849502487562189,249,0.7345132743362832
sil,5975,0.7961359093937375,263,0.7387640449438202
alış,12662,0.8267171585270305,288,0.6385809312638581
düzel,6424,0.7249746078320731,247,0.7351190476190477
atla,18303,0.7819455718374845,299,0.6629711751662971
kavuş,4999,0.8055107960038672,243,0.7189349112426036
patla,4582,0.8045654082528534,239,0.7422360248447205
er,2047718,0.8001180023991217,484,0.562137049941928
sus,3714,0.8329221798609554,234,0.75
yükle,4667,0.7572610741521986,232,0.725
beğen,4770,0.7940735808223739,223,0.7101910828025477
yen,11088,0.7681330100450294,265,0.7142857142857143
başvur,3692,0.797752808988764,221,0.7441077441077442
dokun,4185,0.7851782363977486,257,0.7158774373259053
öngör,3598,0.76896772814704,148,0.714975845410628
gülümse,2329,0.8762227238525206,149,0.8370786516853933
benimse,4464,0.8190825688073394,234,0.7597402597402597
yıka,3303,0.8214374533698086,221,0.7466216216216216
buyur,1268,0.9128869690424766,114,0.8201438848920863
örgütle,5250,0.6854680767724246,174,0.8055555555555556
