collocate_pair,risk_ratio,risk_ratio_reverse,odds_ratio,mutual_information,dice_coefficient,t_score,chi_squared,risk_ratio_confidence_interval_left,risk_ratio_confidence_interval_right,risk_ratio_reverse_confidence_interval_left,risk_ratio_reverse_confidence_interval_right,suffix1_frequency,suffix2_frequency,suffix1-suffix2_frequency,suffix1-suffix2_adjacent_frequency,stem_frequency
"('Neg', 'A3sg')",0.9428467885790478,0.9263246989917611,0.9224747426201448,1.354454231485953,0.13492297405858586,122.6367939632161,6.4656356165437435e+25,0.9318738275201139,0.9539489579823358,0.9155440239413809,0.9372323181884659,102229,491532,40056,1262,723
"('Loc', 'Past')",0.9423495580955397,0.9394312813674481,0.9394045664812253,-4.299225187377957,0.000621363610687454,-151.821433032641,8.811920224201765e+25,0.7358135838021673,1.206858243978294,0.7335349095677748,1.2031208343331672,21872,190564,66,66,56
"('Narr', 'A1sg')",0.9366790647254013,0.9380493599240335,0.9348207440429924,0.8819012827064907,0.046951944759885254,30.226320405129105,9.997206024485898e+25,0.9081919184663328,0.9660597638618792,0.9095205389855453,0.9674730409445689,125127,60680,4362,1264,553
"('Stay→Verb', 'Prog2')",0.9325351180454703,0.9321744770594845,0.9321664574883417,0.6226468114696314,0.00016959213092512508,0.49571272240457664,1.0356571120847085e+26,0.23231955081834704,3.743213790336764,0.2322297054599797,3.7417661705249414,178,23408,2,2,2
"('Able→Verb', 'Inf2→Noun')",0.9262292155464311,0.92534002495981,0.9236238024102613,-0.0653559140241858,0.01741485927588173,-2.270238686260395,8.36996389488206e+25,0.8888507455450319,0.96517954677048,0.8879974387149472,0.9642529634226624,33236,242161,2398,2397,473
"('Unable', 'Prog2')",0.9259011446976717,0.9265248030802434,0.9254986869880412,0.5909258524785007,0.01044702506389275,5.1302752514752585,1.0356571120847094e+26,0.8133154644605715,1.0540718420017443,0.8138632886100401,1.054781832203033,21198,23408,233,233,144
"('Related→Adj', 'Inf1→Noun')",0.9251747833174717,0.9246870347504729,0.9246304834956476,0.20806578310099336,0.0005129365618163989,0.553746546562371,9.950741891864923e+25,0.574045006421629,1.4910823543648197,0.5737423721147675,1.4902962615154114,720,65565,17,0,1
"('Gen', 'A3pl')",0.9200116256367475,0.917049829396856,0.9170490932529234,-9.153018735555605,1.9032755371995205e-05,-568.289610260665,9.78507637009091e+25,0.1250121732559442,6.77071175759697,0.12460972118428276,6.748914784530287,21972,83110,1,0,1
"('Agt→Noun', 'Dat')",0.9174013256732139,0.915211549088927,0.9152084405140957,2.6493402296453272,0.00012899619461225893,1.4559747919777735,1.013310678886094e+26,0.29148673640537276,2.887353307138188,0.2907909767501943,2.8804613848293825,33,46480,3,0,2
"('Repeat→Verb', 'A1sg')",0.9156468211608005,0.9132387008857598,0.9132367303368234,0.7017930184116656,6.584904107333936e-05,0.5447444394235846,9.997206024485896e+25,0.22453371525470883,3.7340009278820165,0.2239431991521687,3.724180631307345,65,60680,2,0,2
"('P1sg', 'Cond')",0.8970214615719856,0.8966241260321693,0.896468385348245,-0.7102080311157901,0.0022256462934429036,-3.2431935706430397,1.0469869851627467e+26,0.6099462978079765,1.3192104049364368,0.609676122174638,1.31862606085903,11526,11838,26,25,6
"('NarrPart→Adj', 'Acc')",0.8943054189661968,0.888895860895861,0.888851890215067,0.11541251351265269,0.0016667769032343409,0.6102353827520492,9.879918936357316e+25,0.6942066380560583,1.1520808625971697,0.6900074561639057,1.1451120483690882,2554,73041,63,44,35
"('With→Adj', 'P2sg')",0.8930403503764628,0.8916541600619685,0.8914016727716941,2.172469209987759,0.0071869877695120415,8.308722409630459,1.0302895519637258e+26,0.7420705303047042,1.0747240792233625,0.7409186775565653,1.0730558767633671,2805,28919,114,1,2
"('Caus→Verb', 'With→Adj')",0.8928446064830909,0.9038875557700317,0.8928219783093444,-0.8822814698918001,0.0009311110815520291,-7.05553028003224,1.0558899547838742e+26,0.697151651184473,1.1434692723907878,0.7057742158205096,1.1576120169339006,147553,2805,70,0,32
"('Acquire→Verb', 'With→Adj')",0.8878398188495642,0.8924493831752159,0.887816433527379,-0.7605649762208935,0.0009815778864524724,-3.673133453274358,1.0558899547838697e+26,0.6081689211708793,1.2961194110630112,0.6113264657002877,1.3028487170393557,54246,2805,28,0,14
"('Able→Verb', 'A3sg')",0.8853002950984399,0.8510134046249743,0.8477399592907172,1.767608813765789,0.06609015793645955,93.2623561275375,6.465635616543746e+25,0.87007776910942,0.9007891481971888,0.8363804334844107,0.8659023882639516,33236,491532,17341,86,693
"('Neg', 'P1sg')",0.884008587489279,0.8889057515446257,0.8834627203638711,0.9588252682700802,0.012553294360687443,12.975032437352787,1.0472936537326184e+26,0.8198837335250839,0.9531487829315272,0.8244256635540511,0.9584289646234571,102229,11526,714,0,241
"('Pass→Verb', 'Inf1→Noun')",0.8824290420080667,0.9017202768981263,0.8815950395448713,-0.5094762657018848,0.023076116429224153,-26.29875568865959,9.95074189186504e+25,0.852254643498197,0.9136717765280462,0.8708862203516222,0.9336460248974232,268200,65565,3851,3548,489
