verb_lemma,formula_freq,formula_freq_norm,num_formula,formula_prop
öde,5480,0.8848700145325368,268,0.7382920110192838
yet,10240,0.737433386144318,296,0.7030878859857482
üret,21,1.0,9,1.0
bağla,4508,0.7468522200132538,250,0.7374631268436578
vur,14034,0.8430854259281509,303,0.6688741721854304
yetiş,6213,0.7348314606741573,270,0.703125
azal,5566,0.7537919826652221,185,0.7007575757575758
yerleş,6526,0.7684879886952426,258,0.7247191011235955
uy,32750,0.8093814101771989,351,0.6234458259325044
kork,3397,0.8066967466160057,195,0.752895752895753
savun,3336,0.8778947368421053,227,0.7881944444444444
kaybet,3658,0.8451940850277264,245,0.716374269005848
boz,5462,0.7043197936814958,229,0.7046153846153846
koş,3835,0.8395359019264448,248,0.7294117647058823
tak,3194,0.8914317610940553,239,0.7709677419354839
çöz,11096,0.8042910988692374,277,0.7066326530612245
kon,13382,0.8772780909925265,294,0.6901408450704225
çevir,3804,0.8282168517308949,250,0.7530120481927711
kap,18467,0.7526798451192175,308,0.6799116997792495
kır,10182,0.8282088823816496,296,0.7047619047619048
çal,17853,0.8234778597785978,314,0.6709401709401709
yakala,4643,0.7712624584717608,280,0.7035175879396985
yaklaş,3596,0.8629709623230142,239,0.7308868501529052
ağla,14119,0.8029458598726115,290,0.6712962962962963
öğret,4134,0.8311218335343787,245,0.7469512195121951
giy,3982,0.849583955621933,247,0.7264705882352941
tanımla,4691,0.7650032615786041,222,0.75
yansı,5710,0.7495405618272513,232,0.6925373134328359
güven,5284,0.8482902552576658,238,0.7652733118971061
uza,9977,0.731880868544601,262,0.7005347593582888
sar,17288,0.7760818818459329,298,0.7095238095238096
birleş,4671,0.7808425275827482,228,0.7307692307692307
uğra,7565,0.8469547693685625,271,0.6966580976863753
aş,91830,0.7858591563759595,415,0.6240601503759399
ekle,15640,0.8284337094125748,277,0.6533018867924528
içer,2163,0.9023779724655819,133,0.7471910112359551
tamamla,4649,0.745749117741418,219,0.7203947368421053
sok,4274,0.8192447766915852,253,0.7397660818713451
yay,13610,0.7354371555171296,257,0.6908602150537635
harca,5258,0.8319620253164557,247,0.801948051948052
evlen,4620,0.8522412838959601,242,0.6954022988505747
dök,4339,0.7503026111015044,234,0.7177914110429447
çağır,2406,0.8934274043817304,202,0.808
yönel,4576,0.8028070175438596,224,0.7088607594936709
gez,3719,0.8543533195497358,238,0.7368421052631579
kurtul,3658,0.8225770182145267,233,0.7350157728706624
dene,7831,0.8465945945945946,260,0.7142857142857143
ilerle,2604,0.8024653312788906,211,0.7644927536231884
ilgilen,5184,0.77292381094379,237,0.6929824561403509
destekle,4096,0.8655959425190194,203,0.7173144876325088
çiz,3609,0.7912738434553825,234,0.7358490566037735
davran,4342,0.87983789260385,243,0.745398773006135
dolaş,2998,0.8799530378632228,221,0.7391304347826086
gözle,7643,0.7305486522653413,240,0.7407407407407407
şaş,4122,0.7931498941697133,190,0.7279693486590039
paylaş,8140,0.6872678149273894,297,0.6719457013574661
uyan,4598,0.8169864960909737,240,0.7523510971786834
uç,8034,0.8647077817242492,265,0.6919060052219321
kurtar,3454,0.7947537965945697,219,0.7324414715719063
yararlan,7,0.7,7,0.7
aktar,4500,0.8076094759511845,235,0.7605177993527508
vurgula,3094,0.7925204918032787,150,0.7894736842105263
kop,3539,0.8513350974260284,257,0.7694610778443114
bağır,2814,0.9045323047251688,176,0.7787610619469026
çarp,3398,0.8182037081627739,241,0.7325227963525835
kay,23754,0.7945013044350793,336,0.6375711574952562
ak,1234313,0.7970714728521981,550,0.560081466395112
oy,27080,0.7875298086430524,353,0.6488970588235294
vazgeç,5642,0.8264244909916508,259,0.7708333333333334
ata,5761,0.6956049263462931,234,0.7358490566037735
bahset,4522,0.8624833110814419,233,0.7467948717948718
planla,3776,0.8690448791714614,177,0.7763157894736842
zorla,4735,0.7554243777919591,232,0.7318611987381703
engelle,4028,0.779260978912749,208,0.7172413793103448
uyu,8666,0.8373755918446226,301,0.671875
uğraş,3698,0.886810551558753,232,0.7318611987381703
besle,4583,0.7402681311581327,234,0.7476038338658147
değ,12405,0.8315457836171068,292,0.674364896073903
başar,4298,0.8206988734008019,234,0.7381703470031545
sapta,4909,0.73952997890931,196,0.7567567567567568
öner,4075,0.8648132427843803,180,0.7346938775510204
kaynaklan,61,0.7011494252873564,8,0.8
yık,11337,0.7793359455557847,309,0.6836283185840708
rastla,5017,0.7509354886992965,218,0.7491408934707904
önle,13095,0.736460266576683,237,0.6353887399463807
kaydet,3418,0.7461253001528051,189,0.7529880478087649
bula,6104,0.7885286138741765,260,0.7084468664850136
uzan,115,0.8914728682170543,24,0.8
sakla,8151,0.7643473368342085,253,0.7047353760445683
yolla,3614,0.8281393217231897,231,0.7573770491803279
seyret,3361,0.8896241397564849,223,0.7147435897435898
böl,5145,0.6989539464746638,260,0.6896551724137931
üz,22548,0.7305598755832037,296,0.6477024070021882
dik,2867,0.8656400966183575,238,0.7414330218068536
ek,930914,0.790643554980283,477,0.5678571428571428
yit,3361,0.8741222366710013,213,0.7661870503597122
hesapla,4920,0.8031341821743389,218,0.7517241379310344
